Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes , 1 143 ,46,1,S.R. ,0,S.R. ,0,S.R. ,2, 1 192
Baja California ,28,38,0,3,S.R. ,S.R. ,0,0,0,69
Baja California Sur ,75,8,6,S.R. ,S.R. ,S.R. ,0,0,S.R. ,89
Campeche ,26,18,2,4,0,0,0,0,2,52
Coahuila ,39,79,0,4,2,S.R. ,2,S.R. ,3,129
Colima , 3 594 , 1 482 ,16,S.R. ,0,S.R. ,0,154,67, 5 313
Chiapas ,81,66,10,26,S.R. ,0,0,0,4,187
Chihuahua ,118,49,7,88,S.R. ,S.R. ,0,S.R. ,14,276
Distrito Federal ,160,12,29,1,2,0,6,0,37,247
Durango , 3 498 ,25,4,582,0,S.R. ,S.R. ,0,0, 4 109
Guanajuato , 13 992 , 3 841 ,283,1,S.R. ,17,36,S.R. , 1 340 , 19 510
Guerrero , 24 811 , 3 145 ,905,62,S.R. ,S.R. ,72,7,0, 29 002
Hidalgo ,131,3,0,12,0,2,0,S.R. ,0,148
Jalisco , 18 622 , 5 362 ,63,1,0,0,7,3, 2 699 , 26 757
Mexico , 5 372 ,55,2,4,7,S.R. ,0,S.R. ,245, 5 685
Michoacan , 7 678 , 3 547 ,479, 5 882 ,S.R. ,S.R. ,3,14,S.R. , 17 603
Morelos , 14 495 , 1 200 ,586,0,S.R. ,S.R. ,32,S.R. ,S.R. , 16 313
Nayarit , 4 237 , 1 159 ,122, 1 757 ,0,S.R. ,0,1,5, 7 281
Nuevo Leon ,40,76,0,0,S.R. ,0,0,S.R. ,23,139
Oaxaca , 1 544 ,134,99, 1 299 ,1,0,1,8,6, 3 092
Puebla , 5 566 ,505,62, 1 891 ,0,0,0,S.R. ,44, 8 068
Queretaro , 1 215 , 1 629 ,77,0,0,S.R. ,0,S.R. ,50, 2 971
Quintana Roo ,25,17,17,S.R. ,S.R. ,S.R. ,0,0,3,62
San Luis Potosi,103,60,5,62,S.R. ,3,0,S.R. ,4,237
Sinaloa , 2 617 , 1 249 ,126, 1 401 ,4,0,3,12,304, 5 716
Sonora , 2 155 , 1 304 ,66,0,S.R. ,S.R. ,2,1,196, 3 724
Tabasco ,21,25,1,S.R. ,S.R. ,0,0,0,3,50
Tamaulipas ,154,104,1,42,16,0,0,0,6,323
Tlaxcala ,18,18,0,0,0,S.R. ,0,S.R. ,0,36
Veracruz ,75,58,4,22,0,0,0,0,0,159
Yucatan ,3,14,0,16,0,S.R. ,0,0,3,36
Zacatecas , 1 293 ,81,3,499,0,S.R. ,0,S.R. ,0, 1 876
